2025-07-14 08:20:21,962 INFO    MainThread:2813167 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_setup.py:_flush():80] Configure stats pid to 2813167
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_setup.py:_flush():80] Loading settings from /data/user/cenzihan/.config/wandb/settings
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_setup.py:_flush():80] Loading settings from /data/user/cenzihan/NN-DPD/src/wandb/settings
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /data/user/cenzihan/NN-DPD/src/wandb/offline-run-20250714_082021-qvvflycc/logs/debug.log
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /data/user/cenzihan/NN-DPD/src/wandb/offline-run-20250714_082021-qvvflycc/logs/debug-internal.log
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_init.py:init():830] calling init triggers
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'epochs': 100, 'M': 5, 'neurons': 12, 'isDPD': True, 'activateF': 'nn.Tanh()', 'DatasetName': '_DPDtrain_220k_M5_Len1600_MCS9_CBW80_fs480m_', '_wandb': {}}
2025-07-14 08:20:21,963 INFO    MainThread:2813167 [wandb_init.py:init():871] starting backend
2025-07-14 08:20:22,210 INFO    MainThread:2813167 [wandb_init.py:init():874] sending inform_init request
2025-07-14 08:20:22,253 INFO    MainThread:2813167 [wandb_init.py:init():882] backend started and connected
2025-07-14 08:20:22,259 INFO    MainThread:2813167 [wandb_init.py:init():953] updated telemetry
2025-07-14 08:20:22,291 INFO    MainThread:2813167 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-14 08:20:22,401 INFO    MainThread:2813167 [wandb_init.py:init():1029] starting run threads in backend
2025-07-14 08:20:22,690 INFO    MainThread:2813167 [wandb_run.py:_console_start():2458] atexit reg
2025-07-14 08:20:22,690 INFO    MainThread:2813167 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-14 08:20:22,690 INFO    MainThread:2813167 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-14 08:20:22,690 INFO    MainThread:2813167 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-14 08:20:22,692 INFO    MainThread:2813167 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-14 08:20:23,406 INFO    MsgRouterThr:2813167 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
